0,4748,4395
500,3992,4279
1000,3830,4221
1500,3785,4221
2000,3695,4266
2500,3598,4201
3000,3107,4595
3500,2906,4880
4000,3094,4750
4500,3094,4576
5000,3242,4414
5500,3262,4201
6000,3372,4085
6500,3391,3923
7000,3385,4007
7500,3514,4059
8000,3546,4085
8500,3675,4149
9000,3662,4162
9500,3798,4221
10000,3824,4240
10500,3856,4279
11000,4005,4473
11500,4031,4311
12000,4108,4343
12500,4205,4350
13000,4263,4518
13500,4412,4544
14000,4716,4712
14500,4922,4479
15000,5129,4389
15500,5704,4124
16000,5891,4117
16500,6027,3956
17000,6266,4117
17500,6001,3562
18000,5937,3503
18500,5840,3277
19000,5601,3083
19500,5478,3129
20000,4968,3129
20500,4657,3148
21000,4134,3019
21500,4095,3142
22000,4089,3129
22500,3985,2948
23000,3624,3161
23500,3656,3536
24000,3255,3439
24500,2848,3852
25000,2487,3930
25500,2383,3943
26000,2454,4124
26390,2454,4124
